time,linear_x,angular_z
1778486576737045232,0.10999999999999999,-0.1
1778486576837701006,0.10999999999999999,-0.1
1778486576938322421,0.10999999999999999,-0.1
1778486577039039277,0.10999999999999999,-0.1
1778486577139661309,0.10999999999999999,-0.1
1778486577240337237,0.10999999999999999,-0.1
1778486577302189276,0.10999999999999999,-0.15000000000000002
1778486577402802496,0.10999999999999999,-0.2
1778486577503442643,0.10999999999999999,-0.2
1778486577604079639,0.10999999999999999,-0.2
1778486577704732129,0.10999999999999999,-0.2
1778486577805301527,0.10999999999999999,-0.2
1778486577905741352,0.10999999999999999,-0.2
1778486578006122460,0.10999999999999999,-0.2
1778486578106335148,0.10999999999999999,-0.2
1778486578206679078,0.10999999999999999,-0.2
1778486578307015981,0.10999999999999999,-0.2
1778486578407327842,0.10999999999999999,-0.2
1778486578507584237,0.10999999999999999,-0.2
1778486578607842681,0.10999999999999999,-0.2
1778486578708273377,0.10999999999999999,-0.2
1778486578808990568,0.10999999999999999,-0.2
1778486578909746438,0.10999999999999999,-0.2
1778486579010381069,0.10999999999999999,-0.2
1778486579111009407,0.10999999999999999,-0.2
1778486579211666002,0.10999999999999999,-0.2
1778486579312391901,0.10999999999999999,-0.2
1778486579413101105,0.10999999999999999,-0.2
1778486579513756996,0.10999999999999999,-0.2
1778486579614454192,0.10999999999999999,-0.2
1778486579715094860,0.10999999999999999,-0.2
1778486579815806209,0.10999999999999999,-0.2
1778486579916482123,0.10999999999999999,-0.2
1778486580016612092,0.10999999999999999,-0.2
1778486580116853042,0.10999999999999999,-0.2
1778486580217204894,0.10999999999999999,-0.2
1778486580317914003,0.10999999999999999,-0.2
1778486580418238477,0.10999999999999999,-0.2
1778486580519000034,0.10999999999999999,-0.2
1778486580619768808,0.10999999999999999,-0.2
1778486580658713924,0.10999999999999999,-0.15000000000000002
